"","term","Total"
"85887","gas at",11
"85888","gas money",11
"85889","gateway drug",11
"85890","gave k",11
"85891","gawd i",11
"85892","gay now",11
"85893","gear in",11
"85894","geared towards",11
"85895","general strike",11
"85896","generation to",11
"85897","george patton",11
"85898","george zimmermans",11
"85899","georgetown university",11
"85900","georgia is",11
"85901","get blown",11
"85902","get checked",11
"85903","get comfortable",11
"85904","get comfy",11
"85905","get dropped",11
"85906","get fed",11
"85907","get get",11
"85908","get hooked",11
"85909","get hung",11
"85910","get jobs",11
"85911","get kids",11
"85912","get lol",11
"85913","get loud",11
"85914","get physical",11
"85915","get played",11
"85916","get punched",11
"85917","get sleep",11
"85918","get special",11
"85919","get today",11
"85920","get we",11
"85921","gets done",11
"85922","gets hit",11
"85923","gets paid",11
"85924","gets us",11
"85925","getting and",11
"85926","getting anything",11
"85927","getting arrested",11
"85928","getting distracted",11
"85929","getting emails",11
"85930","getting food",11
"85931","getting for",11
"85932","getting him",11
"85933","getting kinda",11
"85934","getting serious",11
"85935","getting stuck",11
"85936","getting work",11
"85937","gifts are",11
"85938","gingerbread latte",11
"85939","girl all",11
"85940","girl are",11
"85941","girl cant",11
"85942","girl come",11
"85943","girl hey",11
"85944","girl needs",11
"85945","girl should",11
"85946","girl thanks",11
"85947","girl thinks",11
"85948","girl up",11
"85949","girl w",11
"85950","girl walking",11
"85951","girl why",11
"85952","girl youre",11
"85953","girls got",11
"85954","girls im",11
"85955","girls of",11
"85956","girls the",11
"85957","girls they",11
"85958","give any",11
"85959","giving this",11
"85960","glasses in",11
"85961","glasses to",11
"85962","glen campbell",11
"85963","glory and",11
"85964","glory is",11
"85965","go another",11
"85966","go beat",11
"85967","go broke",11
"85968","go browns",11
"85969","go c",11
"85970","go crew",11
"85971","go cuse",11
"85972","go downstairs",11
"85973","go faster",11
"85974","go finish",11
"85975","go fly",11
"85976","go game",11
"85977","go grizz",11
"85978","go help",11
"85979","go love",11
"85980","go pro",11
"85981","go ravens",11
"85982","go saturday",11
"85983","go say",11
"85984","go study",11
"85985","go suck",11
"85986","go thats",11
"85987","go very",11
"85988","go wash",11
"85989","god all",11
"85990","god do",11
"85991","god she",11
"85992","god there",11
"85993","god they",11
"85994","god willing",11
"85995","gods sake",11
"85996","goes bad",11
"85997","goes there",11
"85998","goes your",11
"85999","going against",11
"86000","going any",11
"86001","going here",11
"86002","going places",11
"86003","going when",11
"86004","gold mine",11
"86005","golf in",11
"86006","golf on",11
"86007","gone call",11
"86008","gone come",11
"86009","gone forever",11
"86010","gone just",11
"86011","gone now",11
"86012","gone you",11
"86013","gonna blow",11
"86014","gonna drive",11
"86015","gonna fight",11
"86016","gonna fly",11
"86017","gonna lay",11
"86018","gonna listen",11
"86019","gonna punch",11
"86020","gonna read",11
"86021","gonna show",11
"86022","gonna steal",11
"86023","gonna text",11
"86024","good actor",11
"86025","good again",11
"86026","good anyway",11
"86027","good better",11
"86028","good blog",11
"86029","good bout",11
"86030","good doing",11
"86031","good feedback",11
"86032","good fucking",11
"86033","good happy",11
"86034","good homie",11
"86035","good make",11
"86036","good memory",11
"86037","good peeps",11
"86038","good picture",11
"86039","good ppl",11
"86040","good side",11
"86041","good spirits",11
"86042","good sport",11
"86043","good starting",11
"86044","good turn",11
"86045","good value",11
"86046","good was",11
"86047","goodness im",11
"86048","goodness we",11
"86049","google alerts",11
"86050","google books",11
"86051","google but",11
"86052","goose bumps",11
"86053","gorgeous im",11
"86054","gorgeous outside",11
"86055","gosh that",11
"86056","got as",11
"86057","got crazy",11
"86058","got even",11
"86059","got got",11
"86060","got hot",11
"86061","got now",11
"86062","got offered",11
"86063","got pissed",11
"86064","got plans",11
"86065","got points",11
"86066","got pushed",11
"86067","got someone",11
"86068","got these",11
"86069","got three",11
"86070","gotta follow",11
"86071","gotta live",11
"86072","gotten you",11
"86073","govt to",11
"86074","gr time",11
"86075","gr weekend",11
"86076","grace the",11
"86077","grad party",11
"86078","grade class",11
"86079","grade level",11
"86080","grades and",11
"86081","grades up",11
"86082","graduation but",11
"86083","grammy awards",11
"86084","grams of",11
"86085","grandma to",11
"86086","granger is",11
"86087","grass in",11
"86088","gray in",11
"86089","great acting",11
"86090","great actress",11
"86091","great audience",11
"86092","great can",11
"86093","great cast",11
"86094","great chance",11
"86095","great combo",11
"86096","great country",11
"86097","great dream",11
"86098","great ending",11
"86099","great follow",11
"86100","great football",11
"86101","great hair",11
"86102","great here",11
"86103","great list",11
"86104","great nation",11
"86105","great not",11
"86106","great peeps",11
"86107","great restaurant",11
"86108","great sex",11
"86109","great staff",11
"86110","great young",11
"86111","greater good",11
"86112","greatest happiness",11
"86113","greek food",11
"86114","green eyes",11
"86115","green jacket",11
"86116","green this",11
"86117","green valley",11
"86118","greener on",11
"86119","greeting cards",11
"86120","greg oden",11
"86121","group project",11
"86122","group work",11
"86123","grow from",11
"86124","growing old",11
"86125","growing out",11
"86126","guardian angel",11
"86127","guess and",11
"86128","guess no",11
"86129","guide now",11
"86130","guide your",11
"86131","guy they",11
"86132","guy too",11
"86133","guys around",11
"86134","guys even",11
"86135","guys hear",11
"86136","guys planning",11
"86137","guys stop",11
"86138","guys wanna",11
"86139","guys whats",11
"86140","gwen stefani",11
"86141","gym at",11
"86142","gym on",11
"86143","gym so",11
"86144","ha how",11
"86145","habit is",11
"86146","had cable",11
"86147","had ever",11
"86148","had friends",11
"86149","had nice",11
"86150","had plans",11
"86151","had problems",11
"86152","had room",11
"86153","had said",11
"86154","had success",11
"86155","had us",11
"86156","had way",11
"86157","had won",11
"86158","haha go",11
"86159","haha never",11
"86160","haha nope",11
"86161","haha theres",11
"86162","haha whatever",11
"86163","hahah but",11
"86164","hahaha how",11
"86165","hahaha what",11
"86166","hahaha your",11
"86167","hahahahahaha i",11
"86168","hair at",11
"86169","hair blonde",11
"86170","hair my",11
"86171","hair will",11
"86172","half days",11
"86173","half they",11
"86174","hall tonight",11
"86175","halloween at",11
"86176","hand gestures",11
"86177","hand not",11
"86178","hand this",11
"86179","handed me",11
"86180","handle your",11
"86181","handled the",11
"86182","hands but",11
"86183","hang w",11
"86184","hangs out",11
"86185","happen every",11
"86186","happened yet",11
"86187","happening again",11
"86188","happens every",11
"86189","happier to",11
"86190","happily married",11
"86191","happiness depends",11
"86192","happy cause",11
"86193","happy doesnt",11
"86194","happy even",11
"86195","happy family",11
"86196","happy humpday",11
"86197","happy mlk",11
"86198","happy rt",11
"86199","happy saint",11
"86200","happy teacher",11
"86201","happy tears",11
"86202","happy they",11
"86203","happy travels",11
"86204","happy tweeting",11
"86205","hard af",11
"86206","hard battle",11
"86207","hard man",11
"86208","harder you",11
"86209","hardly a",11
"86210","harper is",11
"86211","has big",11
"86212","has broken",11
"86213","has called",11
"86214","has crossed",11
"86215","has declared",11
"86216","has enjoyed",11
"86217","has followed",11
"86218","has four",11
"86219","has meaning",11
"86220","has trouble",11
"86221","has very",11
"86222","has wifi",11
"86223","hash browns",11
"86224","hasnt started",11
"86225","hat in",11
"86226","hate because",11
"86227","hate girls",11
"86228","hate making",11
"86229","hate one",11
"86230","hated that",11
"86231","hated the",11
"86232","haters spread",11
"86233","hats are",11
"86234","have are",11
"86235","have caught",11
"86236","have chocolate",11
"86237","have confirmed",11
"86238","have cost",11
"86239","have dropped",11
"86240","have either",11
"86241","have fixed",11
"86242","have gained",11
"86243","have guys",11
"86244","have have",11
"86245","have health",11
"86246","have info",11
"86247","have interest",11
"86248","have kicked",11
"86249","have led",11
"86250","have music",11
"86251","have proof",11
"86252","have recommendations",11
"86253","have rt",11
"86254","have same",11
"86255","have tweets",11
"86256","have walked",11
"86257","havent given",11
"86258","havent missed",11
"86259","havent spoken",11
"86260","havent told",11
"86261","havent updated",11
"86262","havent won",11
"86263","having breakfast",11
"86264","having for",11
"86265","having is",11
"86266","having money",11
"86267","havnt seen",11
"86268","hawaii and",11
"86269","hawaii i",11
"86270","hawaiian shirt",11
"86271","he answered",11
"86272","he becomes",11
"86273","he holds",11
"86274","he mentioned",11
"86275","he moved",11
"86276","he once",11
"86277","he promised",11
"86278","he replies",11
"86279","he scored",11
"86280","he too",11
"86281","he tweets",11
"86282","head ache",11
"86283","head as",11
"86284","head coaching",11
"86285","head im",11
"86286","head p",11
"86287","head still",11
"86288","head thats",11
"86289","head this",11
"86290","headed off",11
"86291","headphones and",11
"86292","heads in",11
"86293","heal and",11
"86294","heal up",11
"86295","health for",11
"86296","healthy body",11
"86297","healthy breakfast",11
"86298","hear everything",11
"86299","hear music",11
"86300","heard say",11
"86301","heard there",11
"86302","heart attacks",11
"86303","heart be",11
"86304","heart can",11
"86305","heart he",11
"86306","heart healthy",11
"86307","heart thats",11
"86308","heart this",11
"86309","hearts a",11
"86310","hearts for",11
"86311","hearts up",11
"86312","heat index",11
"86313","heat of",11
"86314","heat or",11
"86315","heat the",11
"86316","heaven on",11
"86317","heaven or",11
"86318","heavy snow",11
"86319","heck ya",11
"86320","hehe im",11
"86321","held by",11
"86322","held out",11
"86323","held today",11
"86324","hell come",11
"86325","hell its",11
"86326","hell outside",11
"86327","hell she",11
"86328","hell today",11
"86329","hell were",11
"86330","hello sir",11
"86331","hello summer",11
"86332","hello sunshine",11
"86333","hells kitchen",11
"86334","helmet and",11
"86335","help everyone",11
"86336","help more",11
"86337","help one",11
"86338","help set",11
"86339","helped by",11
"86340","helped him",11
"86341","helped my",11
"86342","helping our",11
"86343","helps i",11
"86344","hence why",11
"86345","her already",11
"86346","her anymore",11
"86347","her bed",11
"86348","her children",11
"86349","her daddy",11
"86350","her feelings",11
"86351","her from",11
"86352","her game",11
"86353","her ill",11
"86354","her k",11
"86355","her laugh",11
"86356","her momma",11
"86357","her mothers",11
"86358","her n",11
"86359","her of",11
"86360","her oh",11
"86361","her only",11
"86362","her past",11
"86363","her response",11
"86364","her vagina",11
"86365","her whole",11
"86366","here great",11
"86367","here id",11
"86368","here u",11
"86369","hero for",11
"86370","hero is",11
"86371","hes definitely",11
"86372","hes mad",11
"86373","hes smart",11
"86374","hes there",11
"86375","hes walking",11
"86376","hes with",11
"86377","hes your",11
"86378","hey brad",11
"86379","hey congrats",11
"86380","hey get",11
"86381","hey joe",11
"86382","hey kevin",11
"86383","hey nick",11
"86384","hey not",11
"86385","hey theres",11
"86386","heyy i",11
"86387","hi great",11
"86388","hi is",11
"86389","hi it",11
"86390","hi joe",11
"86391","hi lisa",11
"86392","hi lol",11
"86393","hid in",11
"86394","hiding behind",11
"86395","hiding place",11
"86396","high note",11
"86397","high roller",11
"86398","high score",11
"86399","higher in",11
"86400","highs and",11
"86401","hiking in",11
"86402","hilarious when",11
"86403","hill country",11
"86404","hill in",11
"86405","hill tonight",11
"86406","him be",11
"86407","him feel",11
"86408","him keep",11
"86409","him saying",11
"86410","him self",11
"86411","him stop",11
"86412","him w",11
"86413","him was",11
"86414","hipsters and",11
"86415","his acl",11
"86416","his blog",11
"86417","his chin",11
"86418","his class",11
"86419","his dumb",11
"86420","his ear",11
"86421","his ears",11
"86422","his good",11
"86423","his hat",11
"86424","his legs",11
"86425","his mama",11
"86426","his opportunity",11
"86427","his race",11
"86428","his talent",11
"86429","his third",11
"86430","his website",11
"86431","history book",11
"86432","history exam",11
"86433","hit k",11
"86434","hits your",11
"86435","hm no",11
"86436","hmm my",11
"86437","hmu for",11
"86438","hockey players",11
"86439","hoes at",11
"86440","hoes in",11
"86441","hold em",11
"86442","hold hands",11
"86443","hold him",11
"86444","holding his",11
"86445","holds off",11
"86446","hole you",11
"86447","holiday cheer",11
"86448","holiday lighting",11
"86449","hollywood on",11
"86450","holy grail",11
"86451","home based",11
"86452","home because",11
"86453","home can",11
"86454","home ð",11
"86455","home home",11
"86456","home let",11
"86457","home p",11
"86458","home thats",11
"86459","home while",11
"86460","homelessness in",11
"86461","homie is",11
"86462","honda civic",11
"86463","honest about",11
"86464","honest to",11
"86465","honestly didnt",11
"86466","honestly you",11
"86467","honor our",11
"86468","hoo i",11
"86469","hook for",11
"86470","hoot fest",11
"86471","hope but",11
"86472","hope has",11
"86473","hope someday",11
"86474","hopeful for",11
"86475","hopefully she",11
"86476","hopefully your",11
"86477","horrible i",11
"86478","horse to",11
"86479","host on",11
"86480","hosting and",11
"86481","hosting our",11
"86482","hot all",11
"86483","hot body",11
"86484","hot enough",11
"86485","hot pockets",11
"86486","hot soup",11
"86487","hot that",11
"86488","hot topics",11
"86489","hot you",11
"86490","hour come",11
"86491","hour drink",11
"86492","hour has",11
"86493","hour im",11
"86494","hour it",11
"86495","hour will",11
"86496","hours all",11
"86497","hours into",11
"86498","house again",11
"86499","house by",11
"86500","house get",11
"86501","house parties",11
"86502","house rt",11
"86503","house what",11
"86504","house wine",11
"86505","house without",11
"86506","housing is",11
"86507","houston area",11
"86508","how after",11
"86509","how both",11
"86510","how embarrassing",11
"86511","how ever",11
"86512","how girls",11
"86513","how if",11
"86514","how ironic",11
"86515","how loud",11
"86516","how new",11
"86517","how out",11
"86518","how tough",11
"86519","how warm",11
"86520","however is",11
"86521","however its",11
"86522","hr drive",11
"86523","hr in",11
"86524","hrs away",11
"86525","hs and",11
"86526","hug her",11
"86527","huge crush",11
"86528","huge day",11
"86529","huge game",11
"86530","huge news",11
"86531","huh huh",11
"86532","hulu plus",11
"86533","human is",11
"86534","human life",11
"86535","humanly possible",11
"86536","humble opinion",11
"86537","humor i",11
"86538","hun how",11
"86539","hungry at",11
"86540","hungry what",11
"86541","hunting is",11
"86542","hurt on",11
"86543","hurts more",11
"86544","husband in",11
"86545","i attempt",11
"86546","i bid",11
"86547","i bother",11
"86548","i cn",11
"86549","i date",11
"86550","i entered",11
"86551","i flip",11
"86552","i greatly",11
"86553","i guessed",11
"86554","i hide",11
"86555","i invented",11
"86556","i invite",11
"86557","i kiss",11
"86558","i known",11
"86559","i lack",11
"86560","i popped",11
"86561","i predicted",11
"86562","i prepare",11
"86563","i purchase",11
"86564","i rap",11
"86565","i reckon",11
"86566","i rep",11
"86567","i rode",11
"86568","i s",11
"86569","i scared",11
"86570","i sneeze",11
"86571","i snuck",11
"86572","i south",11
"86573","i urge",11
"86574","i welcome",11
"86575","i wuz",11
"86576","icon in",11
"86577","icon of",11
"86578","icy hot",11
"86579","id card",11
"86580","id known",11
"86581","id need",11
"86582","id tell",11
"86583","id thought",11
"86584","idc what",11
"86585","idea this",11
"86586","identity and",11
"86587","idgaf about",11
"86588","idgaf if",11
"86589","idk lol",11
"86590","idk wat",11
"86591","if anyones",11
"86592","if both",11
"86593","if chris",11
"86594","if if",11
"86595","if kids",11
"86596","if loving",11
"86597","if more",11
"86598","if tebow",11
"86599","if theyd",11
"86600","if want",11
"86601","ignores me",11
"86602","ii men",11
"86603","ill figure",11
"86604","ill respect",11
"86605","illegal immigrants",11
"86606","im attending",11
"86607","im be",11
"86608","im building",11
"86609","im cooking",11
"86610","im creeping",11
"86611","im cute",11
"86612","im dealing",11
"86613","im dropping",11
"86614","im fina",11
"86615","im finished",11
"86616","im finishing",11
"86617","im focusing",11
"86618","im growing",11
"86619","im halfway",11
"86620","im havin",11
"86621","im her",11
"86622","im highly",11
"86623","im hype",11
"86624","im hyper",11
"86625","im imagining",11
"86626","im irritated",11
"86627","im lying",11
"86628","im made",11
"86629","im opening",11
"86630","im paranoid",11
"86631","im passing",11
"86632","im passionate",11
"86633","im perfect",11
"86634","im predicting",11
"86635","im realizing",11
"86636","im ridin",11
"86637","im searching",11
"86638","im seein",11
"86639","im tellin",11
"86640","im terrified",11
"86641","im training",11
"86642","im what",11
"86643","im wishing",11
"86644","ima always",11
"86645","ima put",11
"86646","images and",11
"86647","images are",11
"86648","images on",11
"86649","imaginary friends",11
"86650","imagine having",11
"86651","imitated so",11
"86652","imma keep",11
"86653","imma miss",11
"86654","imma start",11
"86655","impact your",11
"86656","implementation of",11
"86657","important conversation",11
"86658","important enough",11
"86659","impossible and",11
"86660","impossible but",11
"86661","impressed and",11
"86662","impressions are",11
"86663","improv class",11
"86664","in abundance",11
"86665","in advertising",11
"86666","in akron",11
"86667","in anyones",11
"86668","in anyway",11
"86669","in audience",11
"86670","in bacon",11
"86671","in balance",11
"86672","in becoming",11
"86673","in belgium",11
"86674","in bethesda",11
"86675","in blood",11
"86676","in box",11
"86677","in can",11
"86678","in cause",11
"86679","in chains",11
"86680","in chief",11
"86681","in cinci",11
"86682","in close",11
"86683","in conjunction",11
"86684","in connection",11
"86685","in daytona",11
"86686","in degrees",11
"86687","in developing",11
"86688","in ever",11
"86689","in field",11
"86690","in frisco",11
"86691","in fucking",11
"86692","in go",11
"86693","in greenwood",11
"86694","in guys",11
"86695","in hockey",11
"86696","in huntington",11
"86697","in international",11
"86698","in jazz",11
"86699","in jobs",11
"86700","in kindergarten",11
"86701","in linkedin",11
"86702","in m",11
"86703","in madden",11
"86704","in money",11
"86705","in nigeria",11
"86706","in norfolk",11
"86707","in numbers",11
"86708","in oc",11
"86709","in off",11
"86710","in ohare",11
"86711","in oxford",11
"86712","in oz",11
"86713","in palo",11
"86714","in panama",11
"86715","in parking",11
"86716","in penn",11
"86717","in physics",11
"86718","in planning",11
"86719","in plastic",11
"86720","in please",11
"86721","in prague",11
"86722","in protest",11
"86723","in route",11
"86724","in row",11
"86725","in sand",11
"86726","in seeking",11
"86727","in sm",11
"86728","in sweet",11
"86729","in swim",11
"86730","in sync",11
"86731","in taiwan",11
"86732","in thee",11
"86733","in theirs",11
"86734","in thinking",11
"86735","in til",11
"86736","in tokyo",11
"86737","in vip",11
"86738","in young",11
"86739","in youre",11
"86740","in youtube",11
"86741","in yr",11
"86742","inches from",11
"86743","include some",11
"86744","included with",11
"86745","income inequality",11
"86746","increase of",11
"86747","incredible night",11
"86748","indeed we",11
"86749","indiana is",11
"86750","individuals with",11
"86751","influence the",11
"86752","influential in",11
"86753","inform me",11
"86754","information contact",11
"86755","information technology",11
"86756","information we",11
"86757","ingredient in",11
"86758","ingredients in",11
"86759","injury to",11
"86760","inside but",11
"86761","inside for",11
"86762","inside is",11
"86763","inside on",11
"86764","inside us",11
"86765","insight from",11
"86766","insightful and",11
"86767","inspire your",11
"86768","instant tans",11
"86769","instead it",11
"86770","instructional design",11
"86771","integration with",11
"86772","intelligence of",11
"86773","interesting conversation",11
"86774","interesting what",11
"86775","interior designer",11
"86776","internet on",11
"86777","internet users",11
"86778","into two",11
"86779","into with",11
"86780","invention ever",11
"86781","invitation for",11
"86782","invite your",11
"86783","inviting us",11
"86784","involves a",11
"86785","ipad at",11
"86786","iphone so",11
"86787","iphone update",11
"86788","ipod but",11
"86789","is achieved",11
"86790","is air",11
"86791","is bomb",11
"86792","is carrying",11
"86793","is cheese",11
"86794","is college",11
"86795","is counting",11
"86796","is created",11
"86797","is destroying",11
"86798","is downright",11
"86799","is education",11
"86800","is engaged",11
"86801","is evil",11
"86802","is extra",11
"86803","is figuring",11
"86804","is forcing",11
"86805","is fuck",11
"86806","is game",11
"86807","is george",11
"86808","is greatly",11
"86809","is hiding",11
"86810","is ive",11
"86811","is kevin",11
"86812","is laugh",11
"86813","is maybe",11
"86814","is meaningless",11
"86815","is n",11
"86816","is nd",11
"86817","is nearing",11
"86818","is news",11
"86819","is nobody",11
"86820","is poised",11
"86821","is powerful",11
"86822","is practically",11
"86823","is quick",11
"86824","is relative",11
"86825","is revealed",11
"86826","is riding",11
"86827","is searching",11
"86828","is seen",11
"86829","is shes",11
"86830","is shitty",11
"86831","is shot",11
"86832","is somehow",11
"86833","is stepping",11
"86834","is stoked",11
"86835","is sucking",11
"86836","is suddenly",11
"86837","is sunny",11
"86838","is supporting",11
"86839","is tell",11
"86840","is tom",11
"86841","is typical",11
"86842","is unfair",11
"86843","is voting",11
"86844","is waking",11
"86845","is weeks",11
"86846","is wet",11
"86847","is whatever",11
"86848","is women",11
"86849","is xd",11
"86850","is ya",11
"86851","is yo",11
"86852","island for",11
"86853","island with",11
"86854","isnt at",11
"86855","isnt perfect",11
"86856","isnt true",11
"86857","issue at",11
"86858","issue that",11
"86859","issues on",11
"86860","issues so",11
"86861","it absolutely",11
"86862","it became",11
"86863","it cheers",11
"86864","it covered",11
"86865","it drives",11
"86866","it fails",11
"86867","it far",11
"86868","it full",11
"86869","it imma",11
"86870","it immediately",11
"86871","it john",11
"86872","it late",11
"86873","it leads",11
"86874","it missed",11
"86875","it move",11
"86876","it needed",11
"86877","it nothing",11
"86878","it officially",11
"86879","it playing",11
"86880","it pm",11
"86881","it poppin",11
"86882","it provides",11
"86883","it run",11
"86884","it running",11
"86885","it safely",11
"86886","it scared",11
"86887","it shit",11
"86888","it special",11
"86889","it sweet",11
"86890","it them",11
"86891","it tuesday",11
"86892","it ur",11
"86893","it welcome",11
"86894","it wen",11
"86895","it within",11
"86896","it wud",11
"86897","it yeah",11
"86898","it youd",11
"86899","itbut i",11
"86900","items i",11
"86901","its alot",11
"86902","its any",11
"86903","its awkward",11
"86904","its bc",11
"86905","its beer",11
"86906","its black",11
"86907","its bullshit",11
"86908","its by",11
"86909","its completely",11
"86910","its dangerous",11
"86911","its debut",11
"86912","its decided",11
"86913","its disgusting",11
"86914","its do",11
"86915","its fixed",11
"86916","its fresh",11
"86917","its fullest",11
"86918","its gross",11
"86919","its healthy",11
"86920","its huge",11
"86921","its inevitable",11
"86922","its lame",11
"86923","its money",11
"86924","its morning",11
"86925","its most",11
"86926","its near",11
"86927","its nuts",11
"86928","its problems",11
"86929","its seems",11
"86930","its smooth",11
"86931","its toll",11
"86932","its two",11
"86933","its u",11
"86934","its under",11
"86935","its value",11
"86936","itunes for",11
"86937","itunes in",11
"86938","itunes match",11
"86939","j edgar",11
"86940","j fox",11
"86941","jack black",11
"86942","jack london",11
"86943","jack off",11
"86944","jacket on",11
"86945","jackpot is",11
"86946","jackson for",11
"86947","jake is",11
"86948","jayz and",11
"86949","jeans that",11
"86950","jeans to",11
"86951","jeb bush",11
"86952","jeff bridges",11
"86953","jeff suppan",11
"86954","jennifer love",11
"86955","jesus has",11
"86956","jesus im",11
"86957","jesus jesus",11
"86958","jesus would",11
"86959","jets fan",11
"86960","jets jets",11
"86961","jewelry for",11
"86962","job dont",11
"86963","job it",11
"86964","job security",11
"86965","job team",11
"86966","job tomorrow",11
"86967","job too",11
"86968","job w",11
"86969","jobs bill",11
"86970","jobs the",11
"86971","jobs we",11
"86972","john adams",11
"86973","john cusack",11
"86974","john thanks",11
"86975","johnny carson",11
"86976","johns hopkins",11
"86977","johnson has",11
"86978","joke here",11
"86979","joke its",11
"86980","jones for",11
"86981","jones on",11
"86982","jong il",11
"86983","jordan and",11
"86984","joshua ledet",11
"86985","journalism class",11
"86986","judge each",11
"86987","judge of",11
"86988","judgement day",11
"86989","juice for",11
"86990","jump from",11
"86991","jumped up",11
"86992","jumping out",11
"86993","june in",11
"86994","june or",11
"86995","jus like",11
"86996","just accidentally",11
"86997","just beyond",11
"86998","just blocked",11
"86999","just compared",11
"87000","just die",11
"87001","just figure",11
"87002","just fired",11
"87003","just flipped",11
"87004","just gained",11
"87005","just given",11
"87006","just google",11
"87007","just grabbed",11
"87008","just graduated",11
"87009","just hates",11
"87010","just him",11
"87011","just is",11
"87012","just jump",11
"87013","just kids",11
"87014","just laid",11
"87015","just locked",11
"87016","just lose",11
"87017","just messin",11
"87018","just notice",11
"87019","just old",11
"87020","just pay",11
"87021","just preordered",11
"87022","just printed",11
"87023","just push",11
"87024","just replied",11
"87025","just ridiculous",11
"87026","just rode",11
"87027","just running",11
"87028","just screamed",11
"87029","just steal",11
"87030","just surprised",11
"87031","just throwing",11
"87032","just typed",11
"87033","just ugly",11
"87034","k love",11
"87035","k run",11
"87036","k that",11
"87037","k tweet",11
"87038","k words",11
"87039","karaoke and",11
"87040","kardashian is",11
"87041","karma and",11
"87042","keep believing",11
"87043","keep changing",11
"87044","keep its",11
"87045","keep living",11
"87046","keep rolling",11
"87047","keep warm",11
"87048","keep yo",11
"87049","keep yourself",11
"87050","keeps her",11
"87051","keeps them",11
"87052","kentucky will",11
"87053","kevin na",11
"87054","keys are",11
"87055","kickoff event",11
"87056","kidding its",11
"87057","kidding right",11
"87058","kids getting",11
"87059","kids really",11
"87060","kids school",11
"87061","kids should",11
"87062","kids want",11
"87063","kill bill",11
"87064","killing of",11
"87065","kim k",11
"87066","kinda good",11
"87067","kinda looks",11
"87068","kinda lost",11
"87069","kinda the",11
"87070","kindle nook",11
"87071","king with",11
"87072","kinney specials",11
"87073","kiss from",11
"87074","kiss in",11
"87075","kisses but",11
"87076","kisses im",11
"87077","kitchen for",11
"87078","kitchen or",11
"87079","kitty is",11
"87080","knee and",11
"87081","knew all",11
"87082","knew him",11
"87083","knew was",11
"87084","knew when",11
"87085","knicks tonight",11
"87086","knitting factory",11
"87087","kno its",11
"87088","knock a",11
"87089","knock this",11
"87090","knocked it",11
"87091","knocked off",11
"87092","know another",11
"87093","know crazy",11
"87094","know do",11
"87095","know get",11
"87096","know imma",11
"87097","know know",11
"87098","know mine",11
"87099","know once",11
"87100","know only",11
"87101","know sometimes",11
"87102","know still",11
"87103","know tht",11
"87104","know yourself",11
"87105","knowing he",11
"87106","knowledge on",11
"87107","kobe beef",11
"87108","kony famous",11
"87109","kony video",11
"87110","kool i",11
"87111","kristen wiig",11
"87112","la clippers",11
"87113","la live",11
"87114","la talk",11
"87115","la that",11
"87116","la tomorrow",11
"87117","labor and",11
"87118","labor is",11
"87119","labor of",11
"87120","lack thereof",11
"87121","lactose intolerant",11
"87122","ladies love",11
"87123","lady said",11
"87124","lake for",11
"87125","lakers all",11
"87126","lakers getting",11
"87127","lakers or",11
"87128","lap and",11
"87129","laptop to",11
"87130","last exam",11
"87131","last page",11
"87132","last performance",11
"87133","last several",11
"87134","last six",11
"87135","last the",11
"87136","last wknd",11
"87137","late af",11
"87138","late show",11
"87139","laugh factory",11
"87140","laughing for",11
"87141","launched the",11
"87142","launching soon",11
"87143","law on",11
"87144","law students",11
"87145","lay your",11
"87146","laying around",11
"87147","layout is",11
"87148","lazy people",11
"87149","lazy sundays",11
"87150","lead guitarist",11
"87151","lead is",11
"87152","leaders at",11
"87153","leaders from",11
"87154","leadership summit",11
"87155","league team",11
"87156","learn their",11
"87157","learn who",11
"87158","learning center",11
"87159","learning this",11
"87160","lease for",11
"87161","least shes",11
"87162","leave by",11
"87163","leaves in",11
"87164","lecture and",11
"87165","lee is",11
"87166","left here",11
"87167","left im",11
"87168","left no",11
"87169","legacy will",11
"87170","legal in",11
"87171","legal services",11
"87172","lemon juice",11
"87173","lend you",11
"87174","leo buscaglia",11
"87175","leonard cohens",11
"87176","les mis",11
"87177","les paul",11
"87178","less curious",11
"87179","less from",11
"87180","less sleep",11
"87181","lesson i",11
"87182","lesson on",11
"87183","lessons i",11
"87184","let these",11
"87185","lets build",11
"87186","lets fucking",11
"87187","lets goo",11
"87188","lets shoot",11
"87189","lets stop",11
"87190","lets the",11
"87191","lets tweet",11
"87192","lets us",11
"87193","lets use",11
"87194","level for",11
"87195","liam i",11
"87196","librarian in",11
"87197","librarians and",11
"87198","library association",11
"87199","library system",11
"87200","library that",11
"87201","lie it",11
"87202","lie lie",11
"87203","lie lol",11
"87204","lie no",11
"87205","lied i",11
"87206","life been",11
"87207","life instead",11
"87208","life last",11
"87209","life me",11
"87210","life saver",11
"87211","life seems",11
"87212","life she",11
"87213","life style",11
"87214","lifes to",11
"87215","lifetime to",11
"87216","lift off",11
"87217","light my",11
"87218","light travels",11
"87219","lik a",11
"87220","like baseball",11
"87221","like because",11
"87222","like complete",11
"87223","like fish",11
"87224","like follow",11
"87225","like goin",11
"87226","like high",11
"87227","like james",11
"87228","like maybe",11
"87229","like mr",11
"87230","like much",11
"87231","like said",11
"87232","like singing",11
"87233","like snow",11
"87234","like spending",11
"87235","like stars",11
"87236","like steve",11
