"","term","Total"
"1031","i couldnt",726
"1032","im the",726
"1033","me but",726
"1034","as we",725
"1035","a fun",724
"1036","it so",724
"1037","help you",723
"1038","on tv",723
"1039","a blast",722
"1040","i find",722
"1041","the more",722
"1042","do with",721
"1043","headed to",721
"1044","pick up",721
"1045","get you",720
"1046","of these",720
"1047","to let",720
"1048","me please",719
"1049","send me",719
"1050","that shit",719
"1051","even though",718
"1052","i told",718
"1053","ive never",718
"1054","and make",717
"1055","couple of",717
"1056","for lunch",717
"1057","love and",717
"1058","that are",717
"1059","a whole",716
"1060","like im",716
"1061","glad i",715
"1062","hit me",715
"1063","me im",715
"1064","not just",715
"1065","thought it",714
"1066","to bring",714
"1067","too bad",714
"1068","bunch of",713
"1069","saw a",713
"1070","am not",712
"1071","i wouldnt",711
"1072","is great",711
"1073","and no",710
"1074","been on",710
"1075","my name",710
"1076","people to",709
"1077","the guy",707
"1078","the middle",707
"1079","i wasnt",705
"1080","to leave",705
"1081","the music",704
"1082","feel better",703
"1083","im pretty",703
"1084","much better",703
"1085","thank god",703
"1086","thanks i",703
"1087","give up",700
"1088","fan of",699
"1089","need some",698
"1090","are on",697
"1091","great job",697
"1092","night at",697
"1093","see that",696
"1094","to love",696
"1095","havent been",694
"1096","i wanted",694
"1097","to tweet",693
"1098","dont need",692
"1099","my family",692
"1100","to hit",692
"1101","a time",690
"1102","know when",690
"1103","figure out",688
"1104","i made",688
"1105","something to",688
"1106","seem to",687
"1107","the man",687
"1108","thing i",687
"1109","do something",685
"1110","him to",684
"1111","me some",683
"1112","same thing",682
"1113","to write",681
"1114","now and",680
"1115","about how",679
"1116","i keep",679
"1117","the phone",679
"1118","all is",678
"1119","look for",678
"1120","have my",676
"1121","may have",676
"1122","cant be",675
"1123","made a",675
"1124","and to",674
"1125","as long",673
"1126","because you",673
"1127","but he",673
"1128","come in",673
"1129","got some",673
"1130","it the",673
"1131","much as",673
"1132","follow us",672
"1133","follow you",672
"1134","me or",671
"1135","on saturday",671
"1136","hang out",670
"1137","thats not",670
"1138","the kids",670
"1139","it looks",669
"1140","me of",669
"1141","so true",669
"1142","have it",668
"1143","of life",668
"1144","back at",667
"1145","does that",666
"1146","dont wanna",666
"1147","its gonna",666
"1148","seeing you",666
"1149","know who",665
"1150","oh well",665
"1151","say it",665
"1152","time with",665
"1153","name is",664
"1154","out a",664
"1155","pretty good",664
"1156","that my",663
"1157","need more",662
"1158","that makes",662
"1159","came out",661
"1160","care of",661
"1161","dont let",660
"1162","this day",660
"1163","so cute",659
"1164","thinking of",659
"1165","are doing",658
"1166","how the",658
"1167","i found",658
"1168","shut up",658
"1169","is more",657
"1170","my brother",657
"1171","out our",657
"1172","really good",657
"1173","the rain",656
"1174","in town",655
"1175","id be",654
"1176","make my",654
"1177","awkward moment",653
"1178","i aint",653
"1179","makes you",653
"1180","about my",652
"1181","do is",652
"1182","to move",652
"1183","last time",651
"1184","did u",650
"1185","for coming",650
"1186","seems to",650
"1187","to run",650
"1188","now on",649
